abbrev1,year,date,cbrate,close,cpi,meanClose,timeToWar,closeLag,closeLag31,country,GrossCentralGovDebtGDPratio,ccode,xrateRegime,onGoldStandard,inflation,population,gdp,gdppc
FRN,1880,1880-10-22,3.5,3.499000072,0.048700001,4.456250191,-1407,3.515000105,3.624000072,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-10-29,3.5,3.48300004,0.048700001,4.441249847,-1400,3.499000072,3.622999907,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-08-06,2.5,3.510999918,0.048700001,4.383250237,-1484,3.549000025,3.686000109,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-12-03,3.5,3.493000031,0.048700001,4.428999901,-1365,3.5,3.559999943,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-10-15,3.5,3.515000105,0.048700001,4.447000027,-1414,3.536999941,3.622999907,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-06-18,2.5,3.47300005,0.048700001,4.348500252,-1533,3.487999916,3.635999918,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-09-24,2.5,3.503000021,0.048700001,4.421250343,-1435,3.486000061,3.644999981,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-11-12,3.5,3.5,0.048700001,4.444499969,-1386,3.489000082,3.592999935,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-01-09,3,3.670000076,0.048700001,4.581500053,-1694,3.686000109,4.285999775,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-02-06,3,3.640000105,0.048700001,4.470499992,-1666,3.663000107,4.224999905,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-10-08,2.5,3.536999941,0.048700001,4.467000008,-1421,3.515000105,3.631999969,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-07-16,2.5,3.523999929,0.048700001,4.372499943,-1505,3.513000011,3.714999914,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-02-20,3,3.644999981,0.048700001,4.489250183,-1652,3.647000074,4.138000011,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-05-14,2.5,3.519999981,0.048700001,4.457499981,-1568,3.525000095,3.947000027,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-07-30,2.5,3.549000025,0.048700001,4.416500092,-1491,3.523000002,3.680999994,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-12-31,3.5,3.53399992,0.048700001,9.322328568,-1337,3.535000086,3.512000084,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-01-30,3,3.663000107,0.048700001,4.475250244,-1673,3.664000034,4.301000118,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-07-02,2.5,3.516000032,0.048700001,4.34525013,-1519,3.493999958,3.670000076,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-12-24,3.5,3.535000086,0.048700001,4.424000263,-1344,3.52699995,3.523000002,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-08-13,2.5,3.509000063,0.048700001,4.355999947,-1477,3.510999918,3.670000076,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
FRN,1880,1880-06-04,2.5,3.49000001,0.048700001,4.416000366,-1547,3.512000084,3.809999943,France,95.6,220,NA,1,NA,39045,"82,792","2,120"
